source,target,weight,Type
3087,3621,19,Undirected
3087,70,42,Undirected
3087,1760,34,Undirected
3087,2524,81,Undirected
3087,542,228,Undirected
3087,540,301,Undirected
3087,545,60,Undirected
3087,121,20,Undirected
3087,2147,36,Undirected
3087,2142,121,Undirected
3087,64,60,Undirected
3087,65,264,Undirected
3087,67,185,Undirected
3087,730,79,Undirected
3087,768,115,Undirected
3087,260,24,Undirected
3087,2497,48,Undirected
3087,3033,80,Undirected
3087,537,61,Undirected
3087,536,96,Undirected
3087,2490,33,Undirected
3087,114,30,Undirected
3087,1986,11,Undirected
3087,751,42,Undirected
3087,750,54,Undirected
3087,759,165,Undirected
3087,722,67,Undirected
3087,1740,85,Undirected
3087,1891,41,Undirected
3087,2139,445,Undirected
1748,3256,14,Undirected
2544,3107,11,Undirected
1760,3029,43,Undirected
1760,2139,98,Undirected
1760,1887,9,Undirected
1760,3115,43,Undirected
1760,2531,19,Undirected
1760,1133,14,Undirected
1760,768,25,Undirected
1760,2524,30,Undirected
1760,542,54,Undirected
1760,540,93,Undirected
1760,65,63,Undirected
1760,531,43,Undirected
1760,759,35,Undirected
1760,738,22,Undirected
1760,1891,16,Undirected
1760,2136,31,Undirected
1760,2131,74,Undirected
1760,3107,68,Undirected
1760,2503,14,Undirected
1767,2131,28,Undirected
768,3085,13,Undirected
768,1661,12,Undirected
768,525,118,Undirected
768,1014,32,Undirected
768,994,25,Undirected
768,3099,75,Undirected
768,3896,9,Undirected
768,3895,10,Undirected
768,3081,123,Undirected
768,1785,11,Undirected
768,1887,11,Undirected
768,1886,13,Undirected
768,3119,32,Undirected
768,3111,38,Undirected
768,569,13,Undirected
768,2136,76,Undirected
768,2142,67,Undirected
768,1133,47,Undirected
768,1877,21,Undirected
768,2524,65,Undirected
768,540,256,Undirected
768,545,43,Undirected
768,5064,26,Undirected
768,2149,24,Undirected
768,64,43,Undirected
768,65,166,Undirected
768,2515,22,Undirected
768,3107,225,Undirected
768,3325,39,Undirected
768,60,90,Undirected
768,2497,40,Undirected
768,537,45,Undirected
768,536,84,Undirected
768,531,129,Undirected
768,70,33,Undirected
768,568,15,Undirected
768,3073,88,Undirected
768,1745,69,Undirected
768,1740,55,Undirected
768,3736,9,Undirected
768,3735,11,Undirected
768,1891,36,Undirected
768,2131,229,Undirected
768,3100,45,Undirected
768,2503,43,Undirected
542,4048,16,Undirected
542,810,15,Undirected
542,813,13,Undirected
542,2858,14,Undirected
542,1661,16,Undirected
542,1014,65,Undirected
542,2524,122,Undirected
542,3096,12,Undirected
542,3099,148,Undirected
542,2142,182,Undirected
542,3895,12,Undirected
542,610,8,Undirected
542,1887,16,Undirected
542,1886,21,Undirected
542,2535,28,Undirected
542,2716,13,Undirected
542,2155,8,Undirected
542,4868,10,Undirected
542,2152,14,Undirected
542,2159,8,Undirected
542,4482,8,Undirected
542,2143,8,Undirected
542,1133,82,Undirected
542,3155,19,Undirected
542,3158,17,Undirected
542,1432,11,Undirected
542,1006,15,Undirected
542,1005,22,Undirected
542,1879,34,Undirected
542,3085,30,Undirected
542,2622,12,Undirected
542,3882,28,Undirected
542,18,15,Undirected
542,3906,14,Undirected
